ID,原始文件名,推荐名称,分类,服装,色调,姿势,性别类型,推荐COS路径,置信度,备注
m2_modern_male_01,"1 (1).jpg","现代装-坐姿",modern,现代装,红色,坐姿,male,"festival-templates/modern/male/现代装-坐姿-01.jpg",0.95,"图片中人物身穿红色毛衣，坐姿，手持红色装饰盒，背景有春节元素。"
m2_caishen_male_02,"a76d54130ba053ce2377bf1a34643382d10b175e2884371f19a1c56803841457.png","财神装-站立",caishen,财神装,红色,站立,male,"festival-templates/caishen/male/财神装-站立-02.png",0.95,"图片中人物身穿红色华丽财神装，手持“恭喜发财”红色横幅，背景有金色元宝和灯笼装饰。"
m2_modern_male_03,"AirPods Max 无蓝牙连接电脑 (2).png","现代装-站立",modern,现代装,红色,站立,male,"festival-templates/modern/male/现代装-站立-03.png",0.95,"图片中人物穿着现代服装，搭配红白格纹围巾，背景有烟花，呈站立姿势。"
m2_modern_male_04,"AirPods Max 无蓝牙连接电脑 (3).png","现代装-站立",modern,现代装,白色,站立,male,"festival-templates/modern/male/现代装-站立-04.png",0.95,"图片中人物穿着白色现代服装，围红白格纹围巾，手持烟花棒，背景有烟花效果，呈站立姿势。"
m2_modern_male_05,"s` (347)(1).jpg","现代装-站立",modern,现代装,红色,站立,male,"festival-templates/modern/male/现代装-站立-05.jpg",0.9,"图片中人物穿着红色毛衣，手持彩色龙形装饰，背景为春节主题"
m2_modern_male_06,"微信图片_20260130225122_249_2540.jpg","现代装-坐姿",modern,现代装,红色,坐姿,male,"festival-templates/modern/male/现代装-坐姿-06.jpg",0.95,"图片中人物穿着红色毛衣，坐着并手持糖葫芦，背景有春节装饰元素。"
m2_tangzhuang_male_07,"微信图片_20260130225357_255_2540.jpg","唐装-招财手势",tangzhuang,唐装,红色,招财手势,male,"festival-templates/tangzhuang/male/唐装-招财手势-07.jpg",0.95,"图片中人物身穿红色唐装，手持红包和新年祝福条幅，做招财手势。"
m2_modern_male_08,"春节真人_男_16.png","现代装-站立",modern,现代装,红色,站立,male,"festival-templates/modern/male/现代装-站立-08.png",0.95,"图片中人物身穿红色毛衣，手持红玫瑰，背景有春节元素如挂饰和春联。"
m2_modern_male_09,"春节真人_男_23.png","现代装-站立",modern,现代装,红色,站立,male,"festival-templates/modern/male/现代装-站立-09.png",0.95,"图片中人物穿着红色毛衣搭配白色裤子，以站立姿势展示，背景有春节元素如金色马和红色装饰。"
m2_hanfu_female_01,"12345.png","汉服-站立",hanfu,汉服,红色,站立,female,"festival-templates/hanfu/female/汉服-站立-01.png",0.95,"图片中人物身穿红色传统汉服，宽袍大袖，直立站姿，背景为暖色调。"
m2_modern_female_02,"3 (1).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-02.jpg",0.95,"图片中人物穿着红色现代服饰，坐姿，背景有春节装饰元素如灯笼和福字礼盒。"
m2_modern_female_03,"3 (2).jpg","现代装-红色-休闲姿势",modern,现代装,红色,其他,female,"festival-templates/modern/female/现代装-红色-休闲姿势-03.jpg",0.92,"图片中人物穿着红色现代服装，姿势为休闲趴卧，整体风格轻松自然。"
m2_modern_female_04,"3 (3).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-04.jpg",0.95,"图片中人物身穿红色现代服装，坐姿，背景有春节装饰元素如灯笼和剪纸。"
m2_modern_female_05,"3 (4).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-05.jpg",0.95,"图片中人物穿着红色现代装，坐姿，背景有春节装饰元素如灯笼和福字礼盒。"
m2_modern_female_06,"3 (5).jpg","现代装-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-06.jpg",0.95,"图片中人物穿着红色现代装，手持小灯笼，背景有春节装饰元素。"
m2_modern_female_07,"3 (6).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-07.jpg",0.95,"图片中人物身穿红色现代服装，坐姿，背景有春节装饰元素如灯笼和福字礼盒。"
m2_modern_female_08,"3 (7).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-08.jpg",0.95,"图片中人物穿着红色现代毛衣，坐姿，背景有春节装饰元素如灯笼和福字礼盒。"
m2_modern_female_09,"3 (8).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-09.jpg",0.95,"图片中人物穿着红色现代服装，呈坐姿，背景有春节装饰元素。"
